Poblacion,Estado,Tipo,Concesionario/Permisionario,Distintivo,Banda,Frecuencia (kHz),Potencia Diurna y Nocturna,Inicio,Fin,Latitud,Longitud,Altitud,
AGUASCALIENTES,AGS.,(C),"RADIO XEDC, S.A. DE C.V.",XEDC,AM,1050,1-D  1-N,29/10/08,28/10/20,215251,1021746,1885,
AGUASCALIENTES,AGS.,(C),"RADIO Y PUBLICIDAD DE AGUASCALIENTES, S.A. DE C.V.",XEYZ,AM,1130,10 -D  2.5 -N,03/01/10,02/01/20,215251,1021746,1885,
EL SAUZ II,AGS.,(C),JOSEFINA REYES SAHAGÚN,XEEY,AM,660,50 -D  10 -N,24/05/07,23/05/17,215401,1022133,1880,
JESÚS MARÍA,AGS.,(P),GOBIERNO DEL ESTADO DE AGUASCALIENTES,XENM,AM,1320,6 -D  0.5 -N,17/11/12,16/11/24,221404,1020646,2292,
JARAMILLO,B.C.,(C),"MEDIA SPORTS DE MÉXICO, S.A. DE C.V.",XEPE,AM,1700,10 -D  10 -N,17/11/03,16/11/15,305519,1160745,57,
MEXICALI,B.C.,(C),"GRUPO RADIODIGITAL SIGLO XXI, S.A. DE C.V.",XEAA,AM,1340,1 -D  1 -N,09/06/09,08/06/21,323948,1152804,8,
MEXICALI,B.C.,(C),"STEREOREY MEXICALI, S.A.",XEABCA,AM,820,3.5 -D  0.5 -N,29/09/10,28/09/20,323948,1152804,8,
MEXICALI,B.C.,(C),"LA VOZ DE MEXICALI, S.A.",XEAO,AM,910,0.25 -D  0.25 -N,04/07/04,03/07/16,323948,1152804,8,
MEXICALI,B.C.,(C),"XECL-AM, S.A.",XECL,AM,990,1.4 -D  3 -N,04/07/04,03/07/16,323948,1152804,8,
MEXICALI,B.C.,(C),"X-E-D, S.A.",XED,AM,1050,10 -D  N.A. -N,22/05/10,21/05/20,323948,1152804,8,
MEXICALI,B.C.,(C),"X-E-H-G, S.A.",XEHG,AM,1370,0.5 -D  N.A. -N,04/07/04,03/07/16,323948,1152804,8,
MEXICALI,B.C.,(C),"RADIODIFUSORA CACHANILLA, S.A. DE C.V.",XEMBC,AM,1190,0.25 -D  0.1 -N,04/07/04,03/07/16,323948,1152804,8,
MEXICALI,B.C.,(C),"RADIO PROMOTORA DE MEXICALI, S.A.",XEMMM,AM,940,1 -D  0.1 -N,04/07/04,03/07/16,323948,1152804,8,
MEXICALI,B.C.,(C),"STEREOREY MÉXICO, S.A.",XEMX,AM,1120,0.4 -D  0.1 -N,18/05/03,17/05/15,323948,1152804,8,
MEXICALI,B.C.,(C),"FORMULA RADIOFÓNICA, S.A. DE C.V.",XERM,AM,1150,1-D  0.06 -N,31/10/03,30/10/15,323948,1152804,8,
MEXICALI,B.C.,(C),"XESU, S.A.",XESU,AM,790,0.75 -D  0.025 -N,04/07/04,03/07/16,323948,1152804,8,
MEXICALI,B.C.,(C),"XEZF-AM, S.A.",XEZF,AM,850,0.25 -D  N.A. -N,04/07/04,03/07/16,323948,1152804,8,
PLAYAS DE ROSARITO,B.C.,(C),"W3 COMM CONCESIONARIA, S.A. DE C.V.",XEWW,AM,690,77 -D  50 -N,04/07/04,03/07/16,322032,1170322,14,
PUERTO NUEVO,B.C.,(C),"MEDIA SPORTS DE MÉXICO, S.A. DE C.V.",XESDD,AM,1030,5 -D  5 -N,16/11/03,15/11/15,321434,1165606,32,
PUERTO NUEVO,B.C.,(C),"MEDIA SPORTS DE MÉXICO, S.A. DE C.V.",XESS,AM,620,5 -D  5 -N,23/08/12,22/08/24,321434,1165606,32,
RANCHO DEL MAR,B.C.,(C),"INTERAMERICANA DE RADIO, S.A. DE C.V.",XEPRS,AM,1090,50 -D  50 -N,04/07/04,03/07/16,322411,1170506,47,
RANCHO VISTA HERMOSA,B.C.,(C),"RADIODIFUSORA, X.E.M.O., S.A. DE C.V.",XEMO,AM,860,10 -D  7.5 -N,04/07/04,03/07/16,323203,1170119,380,
ROSARITO,B.C.,(C),"TRANSMISORA REGIONAL RADIO FORMULA, S.A. DE C.V.",XEKAM,AM,950,20 -D  5 -N,04/07/04,03/07/16,302926,1152204,780,
SAN QUINTÍN,B.C.,(P),COMISIÓN NACIONAL PARA EL DESARROLLO DE LOS PUEBLOS INDÍGENAS,XEQIN,AM,1160,10 -D N.A. -N,19/08/92,N.D.,303337,1155633,28,
TIJUANA,B.C.,(C),"GRUPO RADIODIGITAL SIGLO XXI, S.A. DE C.V.",XEAZ,AM,1270,0.5 -D  0.5 -N,18/04/08,17/04/20,323205,1170237,31,
TIJUANA,B.C.,(C),"RADIO TIJUANA, S.A.",XEBG,AM,1550,1 -D  1 -N,04/07/04,03/07/16,323205,1170237,31,
TIJUANA,B.C.,(C),"GLORIA HERMINIA ENCISO POWER, GLORIA HERMINIA, MARICEL, JOSÉ ENRIQUE, MARCIA, CLAUDIA BEATRIZ Y LAURA ELENA, TODOS DE APELLIDOS JIMÉNEZ ENCISO",XEC,AM,1310,1 -D  1 -N,04/07/04,03/07/16,323205,1170237,31,
TIJUANA,B.C.,(C),"BROADCASTING BAJA CALIFORNIA, S.A. DE C.V.",XERCN,AM,1470,10 -D  5 -N,04/07/04,03/07/16,323205,1170237,31,
TIJUANA,B.C.,(C),"RADIO 80, S.A.",XESPN,AM,800,0.5 -D  0.25 -N,04/07/04,03/07/16,323205,1170237,31,
TIJUANA,B.C.,(C),"RADIO RYS, S.A. DE C.V.",XESURF,AM,540,0.1 -D  0.1 -N,13/05/06,12/05/18,323205,1170237,31,
TIJUANA,B.C.,(P),UNIVERSIDAD AUTÓNOMA DE BAJA CALIFORNIA,XEUT,AM,1630,10 -D 1 -N,09/10/10,08/10/22,323205,1170237,31,
TIJUANA,B.C.,(C),"OPERADORA DE RADIO Y TELEVISIÓN, S.A.",XEXX,AM,1420,10 -D  2 -N,12/10/10,11/10/20,323205,1170237,31,
BAHÍA ASUNCIÓN,B.C.S.,(C),BERTHA JOSEFA CESARIA COTA AGUILAR,XEBAC,AM,1100,1 -D  N.A. -N,08/05/05,07/05/17,270825,1141745,8,
LA PAZ,B.C.S.,(P),GOBIERNO DEL ESTADO DE BAJA CALIFORNIA SUR,XEBCS,AM,1050,10 -D  N.A. -N,01/12/83,N.D.,240832,1101839,27,
LA PAZ,B.C.S.,(C),RAÚL ARECHIGA ESPINOZA,XEHZ,AM,990,1 -D  0.25 -N,04/07/04,03/07/16,240832,1101839,27,
LA PAZ,B.C.S.,(C),"FORMULA RADIOFÓNICA, S.A. DE C.V.",XENT,AM,790,10 -D  0.75 -N,04/07/04,03/07/16,240832,1101839,27,
LA PAZ,B.C.S.,(P)*,UNIVERSIDAD AUTÓNOMA DE BAJA CALIFORNIA SUR,XEUBS,AM,1180,10 -D  N.A. -N,11/02/84,N.D.,240832,1101839,27,
LORETO,B.C.S.,(C),ROBERTO LORETO COTA ARAIZA,XELBC,AM,730,10 -D  N.A. -N,08/05/05,07/05/17,260046,1112036,3,
PUNTA ABREOJOS,B.C.S.,(C),DAVID MEZA CARLÓN,XEPAS,AM,1200,1 -D  N.A. -N,27/02/06,26/02/18,264252,1133426,1,
SAN JOSÉ DEL CABO,B.C.S.,(C),RAÚL ANTONIO ARECHIGA ESPINOZA,XESJC,AM,660,2.5 -D  0.25 -N,08/05/05,07/05/17,230341,1094229,45,
SANTA ROSALÍA,B.C.S.,(C),ANTONIO RIGOBERTO ESPINOZA PEDRÍN,XERLA,AM,940,10 -D  1 -N,26/02/06,25/02/18,272020,1121601,18,
BECAL,CAMP.,(P),"CADENA CULTURAL BECALEÑA, A.C.",XEBAL,AM,1470,2.5 -D  0.5 -N,30/06/05,R,183045,892748,270,Coordenadas
CD. DEL CARMEN,CAMP.,(C),ARACELY DEL CARMEN ESCALANTE JASSO,XEBCC,AM,1030,1 -D  0.25 -N,12/07/10,11/07/20,183818,915007,10,
CD. DEL CARMEN,CAMP.,(C),"RADIO CARMEN, S. DE R.L.",XEIT,AM,1070,1 -D  0.25 -N,04/07/04,03/07/16,183818,915007,10,
CD. DEL CARMEN,CAMP.,(C),"XEMAB-AM, S.A. DE C.V.",XEMAB,AM,950,3 -D  0.9-N,02/03/03,01/03/15,183818,915007,10,
SAN ANTONIO,CAMP.,(P),COMISIÓN NACIONAL PARA EL DESARROLLO DE LOS PUEBLOS INDÍGENAS,XEXPUJ,AM,700,5 -D  N.A. -N,06/09/01,R,201951,900359,20,
SAN FRANCISCO DE CAMPECHE,CAMP.,(C),"RADIO CAMPECHE, S.A. DE C.V.",XECAM,AM,1280,2.5 -D  0.35 -N,04/07/04,03/07/16,195045,903212,3,
SAN FRANCISCO DE CAMPECHE,CAMP.,(P),UNIVERSIDAD AUTÓNOMA DE CAMPECHE,XECUA,AM,1410,1 -D  0.25 -N,11/02/91,N.D.,195045,903212,3,
TENABO,CAMP.,(P),GOBIERNO DEL ESTADO DE CAMPECHE,XETEB,AM,920,1 -D  0.5 -N,14/04/04,R,200223,901331,9,
ARTEAGA,COAH.,(C),"ADMINISTRADORA ARCÁNGEL, S.A. DE C.V.",XEDE,AM,720,8 -D  0.25 -N,04/07/04,03/07/16,252643,1005048,1680,
CD. ACUÑA,COAH.,(C),"NOVA TELERADIO, S.A. DE C.V.",XEDH,AM,1340,1 -D  0.1 -N,03/07/04,02/07/16,291927,1005554,271,
CD. ACUÑA,COAH.,(C),INSTITUTO MEXICANO DE LA RADIO,XERF,AM,1570,100 -D 100 -N,27/11/87,26/11/17,291927,1005554,271,
CD. FRONTERA,COAH.,(C),"RADIO ESTELAR  920, S.A. DE C.V.",XEGIK,AM,560,1.4 -D  0.25 -N,03/07/04,02/07/16,254143,1025634,1100,
MONCLOVA,COAH.,(P),"PATRONATO CULTURAL MONCLOVA, A.C.",XEPU,AM,1110,0.25 -D  N.A. -N,16/08/82,N.D.,265403,1012500,609,
MONCLOVA,COAH.,(C),"RADIO XEMF, S.A. DE C.V.",XEWGR,AM,780,10 -D  0.25 -N,20/08/07,19/08/19,265403,1012500,609,
SALTILLO,COAH.,(P),UNIVERSIDAD AUTÓNOMA AGRARIA ANTONIO NARRO,XESAL,AM,1220,4.5 -D  N.A,16/06/05,R,252600,1010000,1560,
TORREÓN,COAH.,(C),"VOLER, S.A. DE C.V.",XELZ,AM,710,1 -D  0.25 -N,03/05/04,02/05/16,253240,1032630,1120,
TORREÓN,COAH.,(C),CADENA REGIONAL RADIO FÓRMULA S.A. DE C.V.,XEQN,AM,740,10 -D 1 -N,04/10/03,03/10/15,253240,1032630,1120,
COLIMA,COL.,(C),"RADIO COLIMA, S.A.",XEUU,AM,1080,1 -D  0.13 -N,26/10/04,25/10/16,191437,1034351,484,
MANZANILLO,COL.,(C),SILVIA EVANGELINA GODOY CÁRDENAS,XEAL,AM,860,5 -D  0.1 -N,04/07/04,03/07/16,190308,1041857,11,
TECOMÁN,COL.,(C),"XETY-AM, S.A. DE C.V.",XETY,AM,1390,10 -D  2.5 -N,04/07/04,03/07/16,185432,1035229,25,
COMITÁN DE DOMÍNGUEZ,CHIS.,(P),INSTITUTO MEXICANO DE LA RADIO,XEMIT,AM,540,5 -D 1 -N,14/04/11,13/04/23,161504,920803,1634,
COPAINALA,CHIS.,(P),COMISIÓN NACIONAL PARA EL DESARROLLO DE LOS PUEBLOS INDÍGENAS,XECOPA,AM,1210,5 -D  N.A. -N,04/11/01,R,170537,931238,452,
EL SACRIFICIO,CHIS.,(C),"RADIO MIL DE CHIAPAS, S.A. DE C.V.",XETAC,AM,1000,10 -D 1 -N,12/09/10,11/09/20,174228,920608,27,
LAS MARGARITAS,CHIS.,(P),COMISIÓN NACIONAL PARA EL DESARROLLO DE LOS PUEBLOS INDÍGENAS,XEVFS,AM,1030,10 -D  N.A. ,07/02/84,N.D.,163457,925228,412,
OCOSINGO,CHIS.,(P),GOBIERNO DEL ESTADO DE CHIAPAS,XEOCH,AM,600,10 -D  0.5 -N,19/10/99,N.D.,165426,920546,888,
PALENQUE,CHIS.,(P),GOBIERNO DEL ESTADO DE CHIAPAS,XEPLE,AM,1040,5 -D  0.5 -N,19/10/99,N.D.,173033,915856,60,
SAN CRISTÓBAL DE LAS CASAS,CHIS.,(P),GOBIERNO DEL ESTADO DE CHIAPAS,XERA,AM,760,5 -D  0.5 -N,19/10/99,N.D.,164412,923818,2119,
TECPATAN,CHIS.,(P),GOBIERNO DEL ESTADO DE CHIAPAS,XETEC,AM,1140,1 -D  0.5 -N,26/04/99,N.D.,170810,931840,311,
TUXTLA GUTIERREZ,CHIS.,(C),"XETG, LA GRANDE DEL SURESTE, S.A. DE C.V.",XETG,AM,990,20 -D 1 -N,06/03/03,05/03/15,164511,930656,522,
CD. CUAUHTÉMOC,CHIH.,(C),"ELISA SALINAS ENRÍQUEZ, CESAR ANÍBAL MORENO SALINAS, FRANCO ULISES MORENO SALINAS Y BETZABE MORENO SALINAS",XEPL,AM,550,1 -D  0.15 -N,24/07/05,23/07/17,282418,1065200,2063,Coordenadas
CD. JUÁREZ,CHIH.,(C),"RADIO JUARENSE, S.A. DE C.V.",XECJC,AM,1490,1 -D  0.8 -N,10/02/02,09/02/14,314422,1062913,1137,
CD. JUÁREZ,CHIH.,(C),JOSÉ LUIS BOONE MENCHACA,XEF,AM,1420,5 -D  0.5 -N,04/07/04,03/07/16,314422,1062913,1137,
CD. JUÁREZ,CHIH.,(C),"CONSORCIO TELE RADIAL DEL NORTE, S.A. DE C.V.",XEFV,AM,1000,1 -D  N.A. -N,03/07/04,02/07/16,314422,1062913,1137,
CD. JUÁREZ,CHIH.,(C),"RADIOFÓNICA DEL NORTE, S.A.",XEJ,AM,970,10 -D  5 -N,04/07/04,03/07/16,314422,1062913,1137,
CD. JUÁREZ,CHIH.,(C),"GRUPO IMPULSOR DE MEDIOS, S.A. DE C.V.",XEJCC,AM,720,10 -D  N.A,27/11/04,26/11/16,314422,1062913,1137,
CD. JUÁREZ,CHIH.,(C),"RADIO VIDEO DE LA FRONTERA, S.A. DE C.V.",XEJPV,AM,1560,1 -D  N.A. -N,04/07/04,03/07/16,314422,1062913,1137,
CD. JUÁREZ,CHIH.,(C),"RADIO TRIUNFOS, S.A. DE C.V.",XEJUA,AM,640,5 -D  N.A. -N,22/06/07,21/06/19,314422,1062913,1137,
CD. JUÁREZ,CHIH.,(C),"FANTÁSTICO RADIO TRECE, S.A.",XEP,AM,1300,38 -D  0.2 -N,04/07/04,03/07/16,314422,1062913,1137,
CD. JUÁREZ,CHIH.,(C),"RADIORAMA DE JUÁREZ, S.A.",XEPZ,AM,1190,5 -D  0.1 -N,04/07/04,03/07/16,314422,1062913,1137,
CD. JUÁREZ,CHIH.,(C),"EMISIONES RADIOFÓNICAS, S.A. DE C.V.",XEROK,AM,800,50 -D  50 -N,04/07/04,03/07/16,314422,1062913,1137,
CD. JUÁREZ,CHIH.,(C),"EMISIONES RADIOFÓNICAS, S.A. DE C.V.",XEWG,AM,1240,1 -D 1 -N,04/07/04,03/07/16,314422,1062913,1137,
CD. JUÁREZ,CHIH.,(C),"RADIO INTERNACIONAL DE MÉXICO, S.A.",XEWR,AM,1110,0.5 -D  N.A. ,04/07/04,03/07/16,314422,1062913,1137,
CD. JUÁREZ,CHIH.,(C),"FORMULA RADIOFÓNICA, S.A. DE C.V.",XEYC,AM,1460,1 -D 1 -N,26/02/09,25/02/21,314422,1062913,1137,
CD. JUÁREZ,CHIH.,(C),"SIRTSA SISTEMA DE RADIO Y TELEVISIÓN, S.A. DE C.V.",XEZOL,AM,860,1 -D  0.5 -N,08/01/01,R,314422,1062913,1137,
CD. MADERA,CHIH.,(C),"RADIO CIUDAD MADERA, S.A.",XESW,AM,970,5 -D  N.A. -N,04/07/04,03/07/16,291124,1080829,2100,
CHIHUAHUA,CHIH.,(C),"IMPULSORA DE RADIO DE CHIHUAHUA, S.A.",XEFA,AM,950,1 -D  0.5 -N,27/04/10,26/04/20,283807,1060520,1433,
CHIHUAHUA,CHIH.,(C),"EL VOCERO DEL NORTE, S.A.",XEFI,AM,580,5 -D  0.7 -N,04/07/04,03/07/16,283807,1060520,1433,
CHIHUAHUA,CHIH.,(P),UNIVERSIDAD AUTÓNOMA DE CHIHUAHUA,XERU,AM,1310,1 -D  0.25 -N,15/11/10,14/11/22,283807,1060520,1433,
GUACHOCHI,CHIH.,(P),COMISIÓN NACIONAL PARA EL DESARROLLO DE LOS PUEBLOS INDÍGENAS,XETAR,AM,870,10 -D  N.A,16/11/89,N.D.,264910,1070412,2398,
CHIHUAHUA,CHIH.,(C),"DIFUSORAS DE CHIHUAHUA, S.A.",XEDI,AM,1360,1 -D  0.180 -N,28/07/13,27/07/25,283807,1060520,1433,
NUEVO CASAS GRANDES,CHIH.,(C),"RADIO CASAS GRANDES, S.A.",XETX,AM,540,3.9 -D  0.7 -N,24/11/08,23/11/18,302448,1075445,1457,
RANCHO PRIMERO,CHIH.,(C),ARNOLDO RODRÍGUEZ ZERMEÑO,XEHB,AM,730,50 -D  1 -N,03/07/04,02/07/16,265542,1054517,1817,
CD. DE MÉXICO,D.F.,(C),"LA B GRANDE, S.A.",XEAI,AM,1470,50 -D  5 -N,04/07/04,03/07/16,192600,998000,2500,coords. Wiki
CD. DE MÉXICO,D.F.,(C),INSTITUTO MEXICANO DE LA RADIO,XEB,AM,1220,100 -D      100 -N,03/07/04,02/07/16,192600,998000,2500,coods. Wiki
CD. DE MÉXICO,D.F.,(C),"HISPANO MEXICANO, S.A. DE C.V.",XEBS,AM,1410,25 -D  10 -N,04/07/04,03/07/16,192600,998000,2500,coords. Wiki
CD. DE MÉXICO,D.F.,(C),"PUBLICIDAD COMERCIAL DE MÉXICO, S.A. DE C.V.",XECO,AM,1380,50 -D  5 -N,04/07/04,03/07/16,192600,998000,2500,coords. Wiki
CD. DE MÉXICO,D.F.,(C),CARLOS DE JESÚS QUIÑONES ARMENDÁRIZ,XEDA,AM,1290,10 -D  1 -N,03/07/04,02/07/16,192600,998000,2500,coords. Wiki
CD. DE MÉXICO,D.F.,(C),"RADIO ORO, S.A.",XEDF,AM,1500,50 -D  N.A. ,04/07/04,03/07/16,192600,998000,2500,coords. Wiki
CD. DE MÉXICO,D.F.,(C),INSTITUTO MEXICANO DE LA RADIO,XEDTL,AM,660,50 -D  1 -N,04/07/04,03/07/16,192600,998000,2500,coords. Wiki
CD. DE MÉXICO,D.F.,(P),SECRETARIA DE EDUCACIÓN PUBLICA,XEEP,AM,1060,100 -D  20 -N,24/04/71,N.D.,192600,998000,2500,coords. Wiki
CD. DE MÉXICO,D.F.,(C),"XEEST, S.A. DE C.V.",XEEST,AM,1440,25 -D  1 -N,04/07/04,03/07/16,192600,998000,2500,coords. Wiki
CD. DE MÉXICO,D.F.,(C),"RADIO INTEGRAL, S.A. DE C.V.",XEFR,AM,1180,10 -D  5 -N,04/07/04,03/07/16,192600,998000,2500,coords. Wiki
CD. DE MÉXICO,D.F.,(C),"RADIODIFUSORAS CAPITAL,  S.A. DE C.V.",XEITE,AM,830,25 -D  5 -N,04/07/04,03/07/16,192600,998000,2500,coords. Wiki
CD. DE MÉXICO,D.F.,(C),"EMISORA 1150, S.A. DE C.V.",XEJP,AM,1150,50 -D  10 -N,04/07/04,03/07/16,192600,998000,2500,coords. Wiki
CD. DE MÉXICO,D.F.,(C),INSTITUTO MEXICANO DE LA RADIO,XEMP,AM,710,10 -D  1 -N,04/07/04,03/07/16,192600,998000,2500,coords. Wiki
CD. DE MÉXICO,D.F.,(C),"RADIO SISTEMA MEXICANO, S.A.",XEN,AM,690,100 -D  5 -N,03/07/04,02/07/16,192600,998000,2500,coords. Wiki
CD. DE MÉXICO,D.F.,(C),"EMISORA 1320, S.A. DE C.V.",XENET,AM,1320,20 -D  20 -N,04/07/04,03/07/16,192600,998000,2500,coords. Wiki
CD. DE MÉXICO,D.F.,(C),"ESTÉREO SISTEMA, S.A.",XEOC,AM,560,1.5 -D  0.5 -N,04/07/04,03/07/16,192600,998000,2500,coords. Wiki
CD. DE MÉXICO,D.F.,(C),"FOMENTO DE RADIO, S.A. DE C.V.",XEOY,AM,1000,50 -D  20 -N,04/07/04,03/07/16,192600,998000,2500,coords. Wiki
CD. DE MÉXICO,D.F.,(C),"COMPAÑÍA MEXICANA DE RADIODIFUSIÓN, S.A. DE C.V.",XEPH,AM,590,25 -D  10 -N,03/07/04,02/07/16,192600,998000,2500,coords. Wiki
CD. DE MÉXICO,D.F.,(C),"CADENA RADIODIFUSORA MEXICANA, S.A. DE C.V.",XEQ,AM,940,30 -D  50 -N,03/07/04,02/07/16,192600,998000,2500,coords. Wiki
CD. DE MÉXICO,D.F.,(C),"HORA EXACTA, S.A.",XEQK,AM,1350,5 -D  1 -N,04/07/04,03/07/16,192600,998000,2500,coords. Wiki
CD. DE MÉXICO,D.F.,(C),"XEQR, S.A. DE C.V.",XEQR,AM,1030,50 -D  5 -N,03/07/04,02/07/16,192600,998000,2500,coords. Wiki
CD. DE MÉXICO,D.F.,(C),"XERC, S.A. DE C.V.",XERC,AM,790,50 -D  1 -N,04/07/04,03/07/16,192600,998000,2500,coords. Wiki
CD. DE MÉXICO,D.F.,(C),"RADIO UNO, S.A.",XERFR,AM,970,50 -D  4 -N,04/07/04,03/07/16,192600,998000,2500,coords. Wiki
CD. DE MÉXICO,D.F.,(P),UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,XEUN,AM,860,45 -D  10 -N,18/09/43,N.D.,192600,998000,2500,coords. Wiki
CD. DE MÉXICO,D.F.,(C),"RADIO UNIÓN TEXCOCO, S.A. DE C.V.",XEUR,AM,1530,50 -D  1 -N,04/07/04,03/07/16,192600,998000,2500,coords. Wiki
CD. DE MÉXICO,D.F.,(C),"CADENA RADIODIFUSORA MEXICANA, S.A. DE C.V.",XEW,AM,900,250 -D      250 -N,04/07/04,03/07/16,192600,998000,2500,coords. Wiki
CD. DE MÉXICO,D.F.,(C),"CADENA RADIODIFUSORA MEXICANA, S.A. DE C.V.",XEX,AM,730,  60 -D          100 -N,04/07/04,03/07/16,192600,998000,2500,coords. Wiki
CD. DE MÉXICO,D.F.,(P)*,ARNOLDO RODRÍGUEZ ZERMEÑO,XEARZ,AM,1650,5 -D  5 -N,30/11/11,29/11/23,192600,998000,2500,coords. Wiki
DURANGO,DGO.,(C),"RADIO DURANGO, S.A.",XEDGO,AM,760,5 -D  0.5 -N,04/07/04,03/07/16,240122,1043916,1885,
DURANGO,DGO.,(C),"RADIO Y TELEVISIÓN DE DURANGO, S.A. DE C.V.",XERPU,AM,1370,1 -D  0.25 -N,27/11/04,26/11/16,240122,1043916,1885,
GÓMEZ PALACIO,DGO.,(C),"PROMOTORA RADIOFÓNICA DE LA LAGUNA, S.A. DE C.V.",XERCA,AM,920,5 -D  0.2 -N,03/04/10,02/04/20,253340,1032954,1138,
GÓMEZ PALACIO,DGO.,(C),"PROMOTORA RADIOFÓNICA DE LA LAGUNA, S.A. DE C.V.",XETB,AM,1350,5 -D  0.5 -N,15/04/10,14/04/20,253340,1032954,1138,
GÓMEZ PALACIO,DGO.,(C),"PROMOTORA RADIOFÓNICA DE LA LAGUNA, S.A. DE C.V.",XEWN,AM,1270,0.5 -D  0.15 -N,04/07/04,03/07/16,253340,1032954,1138,
MESA SAN ANTONIO,DGO.,(C),RICARDO LEÓN GARZA LIMÓN,XESRD,AM,560,10 -D  1 -N,21/08/13,20/08/25,231254,1041355,2292,
SAN FELIPE,DGO.,(C),"CADENA REGIONAL RADIO FORMULA, S.A. DE C.V.",XEE,AM,590,1 -D 1 -N,04/07/04,03/07/16,254134,1032257,1117,
SANTA MARÍA OCOTAN,DGO.,(P)*,COMISIÓN NACIONAL PARA EL DESARROLLO DE LOS PUEBLOS INDÍGENAS,XETPH,AM,960,5.0 -D  5.0 -N,01/11/11,31/10/23,225500,1043558,2001,
ACÁMBARO,GTO.,(C),"ORGANIZACIÓN RADIOFÓNICA DE ACÁMBARO, S.A. DE C.V.",XEAK,AM,890,5 -D  0.5 -N,04/06/10,03/06/20,200157,1004317,1880,
ARPEROS,GTO.,(C),"XEGTO, S.A.",XEGTO,AM,590,10 -D  0.25 -N,22/07/07,21/07/19,210607,1012354,1969,
ARROYO SECO,GTO.,(C),"GRUPO RADIODIGITAL SIGLO XXI, S.A. DE C.V.",XEXV,AM,1300,10 -D  0.75 -N,12/05/02,11/05/14,210518,1001027,1740,
