Poblacion,Estado,Tipo,Concesionario/Permisionario,Distintivo,Banda,Frecuencia (kHz),Potencia Diurna y Nocturna,Inicio,Fin,Latitud,Longitud,Altitud,
GUELATAO DE JUÁREZ,OAX.,(P),COMISIÓN NACIONAL PARA EL DESARROLLO DE LOS PUEBLOS INDÍGENAS,XEGLO,AM,780,10 -D  N.A. ,04/05/89,N.D.,171905,962935,1796,
MATÍAS ROMERO,OAX.,(C),"COMPLEJO SATELITAL, S.A. DE C.V.",XEYG,AM,660,1 -D  0.5 -N,06/06/10,05/06/20,165220,950230,198,
OAXACA DE JUÁREZ,OAX.,(C),"RADIO XEIU, S.A. DE C.V.",XEIU,AM,990,2.5 -D  1 -N,22/11/07,21/11/19,170404,964312,1557,
OAXACA DE JUÁREZ,OAX.,(C),"RADIODIFUSORA XEOA-AM, S.A. DE C.V.",XEOA,AM,570,5 -D  2.5 -N,04/07/04,03/07/16,170404,964312,1557,
OAXACA DE JUÁREZ,OAX.,(P),UNIVERSIDAD AUTÓNOMA BENITO JUÁREZ DE OAXACA,XEUBJ,AM,1400,1 -D  1 -N,23/03/00,R,170404,964312,1557,
PUERTO ESCONDIDO,OAX.,(C),"RADIO SOLUCIÓN, S.A. DE C.V.",XEACC,AM,870,10 -D  0.25 -N,11/04/09,10/04/19,155143,970418,65,
PUTLA DE GUERRERO,OAX.,(C),MICHAEL AMANDO MENESES OLAYA,XEPOR,AM,740,5 -D  1 -N,08/08/06,07/08/18,170133,975545,744,
SALINA CRUZ,OAX.,(C),HUMBERTO ALEJANDRO LOPEZLENA ROBLES,XEHLL,AM,550,1 -D  0.25 -N,04/07/04,03/07/16,161057,951145,22,
SAN LUCAS OJITLAN,OAX.,(P),COMISIÓN NACIONAL PARA EL DESARROLLO DE LOS PUEBLOS INDÍGENAS,XEOJN,AM,950,10 -D  N.A. -N,15/03/91,N.D.,180324,962351,157,
SANTA CRUZ AMILPAS,OAX.,(C),"PROMOTORA DE RADIODIFUSIÓN DEL SURESTE, S.A. DE C.V.",XEKC,AM,1460,5 -D  0.5 -N,19/04/10,18/04/20,170330,964100,1540,
SANTA MARÍA ASUNCIÓN TLAXIACO,OAX.,(P),COMISIÓN NACIONAL PARA EL DESARROLLO DE LOS PUEBLOS INDÍGENAS,XETLA,AM,930,5 -D  N.A. -N,01/01/85,N.D.,171433,975956,1759,???
SANTIAGO JAMILTEPEC,OAX.,(P),COMISIÓN NACIONAL PARA EL DESARROLLO DE LOS PUEBLOS INDÍGENAS,XEJAM,AM,1260,10 -D  N.A. ,03/08/92,N.D.,161645,974913,460,
CUETZALAN DE PROGRESO,PUE.,(P),COMISIÓN NACIONAL PARA EL DESARROLLO DE LOS PUEBLOS INDÍGENAS,XECTZ,AM,1350,10 -D  N.A. ,13/08/92,N.D.,200107,973116,932,
IZUCAR DE MATAMOROS,PUE.,(C),"RADIODIFUSORAS CAPITAL, S.A. DE C.V.",XEEV,AM,1330,0.5 -D  N.A. ,12/11/10,11/11/20,183756,982806,1332,
PUEBLA,PUE.,(C),"RADIO PUEBLA, S.A.",XECD,AM,1170,10 -D  2.5 -N,04/07/04,03/07/16,190243,981151,2147,
PUEBLA,PUE.,(C),"RADIO PANZACOLA, S.A.",XEEG,AM,1280,1 -D  0.5 -N,21/09/05,20/09/17,190243,981151,2147,
PUEBLA,PUE.,(C),"EMPRESA RADIODIFUSORA DE PUEBLA XEHR, S.A. DE C.V.",XEHR,AM,1090,   2.5 -D  1 -N,04/07/04,03/07/16,190243,981151,2147,
PUEBLA,PUE.,(C),"OPERADORA DE RADIO DE PUEBLA, S.A. DE C.V.",XEPUE,AM,1210,5 -D  1 -N,04/07/04,03/07/16,190243,981151,2147,
PUEBLA,PUE.,(C),"RADIO PRINCIPAL, S.A. DE C.V.",XEZT,AM,1250,5 -D  0.5 -N,26/10/05,25/10/17,190243,981151,2147,
SAN BERNARDINO TLAXCALANCINGO,PUE.,(C),"RADIO POBLANA, S.A. DE C.V.",XEHIT,AM,1310,5 -D  1 -N,04/07/04,03/07/16,190144,981630,2122,
SAN BERNARDINO TLAXCALANCINGO,PUE.,(C),"RADIO XEZAR, S.A. DE C.V.",XEZAR,AM,920,1 -D  1 -N,06/01/04,05/01/16,190144,981630,2122,
SAN JOSÉ XILOTZINGO,PUE.,(C),"X.E.P.O.P., S.A. DE C.V.",XEPOP,AM,1120,5 -D  0.1 -N,05/04/04,04/04/16,190243,981151,2147,
SANTA MARÍA CORONANGO,PUE.,(C),JOSÉ ASEF HANAN BADRI,XEPA,AM,1010,20 -D  2 -N,04/07/04,03/07/16,190756,981825,2184,
TEHUACÁN,PUE.,(C),"RADIO TEHUACÁN, S.A. DE C.V.",XEGY,AM,1070,2.5 -D  0.25 -N,04/07/04,03/07/16,182750,972335,1633,
TEHUACÁN,PUE.,(C),"AM DE TEHUACÁN, S.A. DE C.V.",XETE,AM,1140,5 -D  1 -N,10/11/10,09/11/20,182750,972335,1633,
XICOTEPEC DE JUÁREZ,PUE.,(C),"RADIODIFUSIÓN DE XICOTEPEC, S.A. DE C.V.",XEVJP,AM,570,5 -D  1 -N,20/07/03,19/07/15,201627,975718,1142,
JALPAN DE SERRA,QRO.,(P),GOBIERNO DEL ESTADO DE QUERÉTARO,XEQJAL,AM,1200,5 -D  N.A. -N,28/02/07,R,211302,992823,756,
QUERÉTARO,QRO.,(P),UNIVERSIDAD AUTÓNOMA DE QUERÉTARO,XEUAQ,AM,580,0.25 -D  0.25 -N,15/11/05,R,203517,1002317,1824,
SAN JUAN DEL RIO,QRO.,(C),"MULTIMEDIOS EN RADIODIFUSIÓN MORALES, S.A. DE C.V.",XEVI,AM,1400,1 -D  1 -N,04/07/04,03/07/16,202320,995947,1917,
CANCÚN,Q.ROO.,(C),"XECCQ-AM, S.A. DE C.V.",XECCQ,AM,630,0.5 -D  0.5 -N,28/11/03,27/11/15,210938,865051,10,
CANCÚN,Q.ROO.,(C),"RADIO INTEGRAL, S.A. DE C.V.",XEYI,AM,580,1 -D  0.25 -N,18/01/10,17/01/20,210938,865051,10,
CHETUMAL,Q.ROO.,(C),"XEQAA-AM, S.A. DE C.V.",XEQAA,AM,560,5 -D  1 -N,04/10/04,03/10/16,183013,881819,10,
CHETUMAL,Q.ROO.,(C),LUIS ALBERTO PAVÍA MENDOZA,XEWO,AM,1020,1 -D  0.25 -N,09/03/10,08/03/20,183013,881819,10,
COZUMEL,Q.ROO.,(C),LUIS ALBERTO PAVÍA MENDOZA,XERB,AM,810,2.5 -D  0.25 -N,02/03/09,01/03/19,203100,865630,1,
FELIPE CARRILLO PUERTO,Q.ROO.,(P),GOBIERNO DEL ESTADO DE QUINTANA ROO,XECPR,AM,660,30 -D  N.A,25/10/00,R,193443,880243,20,
JUAN SARABIA,Q.ROO.,(P),GOBIERNO DEL ESTADO DE QUINTANA ROO,XECTL,AM,860,10 -D  1 -N,25/10/10,24/10/22,183011,882853,20,
PUERTO MORELOS,Q.ROO.,(C),"TRANSMISORA REGIONAL RADIO FORMULA, S.A. DE C.V.",XECAQ,AM,740,20 -D  10 -N,25/07/09,24/07/21,205113,865355,4,
PUERTO MORELOS,Q.ROO.,(C),"ADMINISTRADORA ARCÁNGEL, S.A. DE C.V.",XEQOO,AM,1050,35 -D  2.5 -N,10/11/03,09/11/15,205113,865355,4,
MATEHUALA,S.L.P.,(C),"RADIO MEDIOS MATEHUALA, S.A. DE C.V.",XEIE,AM,1030,5 -D  1 -N,12/08/06,11/08/18,233847,1003840,1577,
SAN LUIS POTOSÍ,S.L.P.,(C),"CONTROLADORA DE MEDIOS, S.A. DE C.V.",XEBM,AM,820,10 -D  1 -N,03/07/04,02/07/16,220859,1005830,1864,
SOLEDAD DE GRACIANO SÁNCHEZ,S.L.P.,(C),"CADENA RADIODIFUSORA MEXICANA, S.A. DE C.V.",XEWA,AM,540,150 -D      150 -N,04/07/03,03/07/15,221059,1005627,1849,
SOLEDAD DE GRACIANO SÁNCHEZ,S.L.P.,(P),UNIVERSIDAD AUTÓNOMA DE SAN LUIS POTOSÍ,XEXQ,AM,1190,25 -D  1 -N,22/09/62,N.D.,221059,1005627,1849,
TANCANHUITZ DE SANTOS,S.L.P.,(P),COMISIÓN NACIONAL PARA EL DESARROLLO DE LOS PUEBLOS INDÍGENAS,XEANT,AM,770,10 -D  N.A. ,12/06/89,ND,213544,985800,218,
CHAMETLA,SIN.,(C),MANUEL FRANCISCO PÉREZ MUÑOZ,XEHW,AM,600,5 -D  1 -N,03/07/04,02/07/16,225239,1055727,9,
CULIACÁN,SIN.,(C),"AMPLITUD MODULADA 710, S.A.",XEBL,AM,710,5 -D  0.25 -N,03/07/04,02/07/16,244731,1072353,64,
CULIACÁN,SIN.,(C),"XECSI-AM, S.A. DE C.V.",XECSI,AM,750,5 -D  0.25 -N,15/03/06,14/03/18,244731,1072353,64,
CULIACÁN,SIN.,(C),"MEGA FRECUENCIA, S.A. DE C.V.",XENW,AM,860,1 -D  0.25 -N,04/07/04,03/07/16,244731,1072353,64,
CULIACÁN,SIN.,(P),UNIVERSIDAD AUTÓNOMA DE SINALOA,XEUAS,AM,1150,10 -D  0.125 -N,03/12/73,N.D.,244731,1072353,64,
GUASAVE,SIN.,(C),"RADIODIFUSORES POR TRADICIÓN, S.A. DE C.V.",XEGS,AM,610,6 -D  1 -N,10/12/08,09/12/20,253424,1082813,20,
LOS MOCHIS,SIN.,(C),"RADIODIFUSORA XEHS, S.A. DE C.V.",XEHS,AM,540,5 -D  2.5 -N,04/07/04,03/07/16,254737,1085949,12,
MAZATLÁN,SIN.,(C),"FÓRMULA RADIOFÓNICA, S.A. DE C.V.",XEACE,AM,1470,1 -D  0.1 -N,27/11/08,26/11/20,240631,1070744,0,
MAZATLÁN,SIN.,(C),"RADIO EMISORA OCCIDENTAL, S.A.",XEOPE,AM,630,1 -D  0.25 -N,27/05/10,26/05/20,240631,1070744,0,
MAZATLÁN,SIN.,(C),"RADIO XEVU, S.A. DE C.V.",XEVU,AM,720,1 -D  0.5 -N,19/02/07,18/02/19,240631,1070744,0,
CABORCA,SON.,(C),"RADIO PALACIOS, S.A. DE C.V.",XEUK,AM,570,0.5 -D  0.25 -N,23/08/09,22/08/21,304256,1120933,280,
CD. OBREGÓN,SON.,(C),"DIFUSIÓN RADIOFÓNICA DE CIUDAD OBREGÓN, S.A. DE C.V.",XEEB,AM,760,5 -D  1 -N,04/07/04,03/07/16,272921,1095606,33,
CD. OBREGÓN,SON.,(C),"RADIO CAJEME, S.A. DE C.V.",XEOX,AM,1430,5 -D  0.5 -N,04/07/04,03/07/16,272921,1095606,33,
CD. OBREGÓN,SON.,(C),"EMPRESAS EDITORIALES DEL NOROESTE, S.A. DE C.V.",XERSV,AM,810,5 -D  N.A. -N,04/07/04,03/07/16,272921,1095606,33,
EL SIFÓN,SON.,(C),ARNOLDO RODRÍGUEZ ZERMEÑO,XESOS,AM,730,2 -D  0.3 -N,04/07/04,03/07/16,311505,1094431,1392,
ETCHOJOA,SON.,(P),COMISIÓN NACIONAL PARA EL DESARROLLO DE LOS PUEBLOS INDÍGENAS,XEETCH,AM,700,5 -D  N.A. -N,28/05/09,27/05/21,265439,1093731,12,
GUAYMAS,SON.,(C),"GILHAAM, S.A. DE C.V.",XEBQ,AM,1240,1 -D  1 -N,10/03/08,09/03/20,275506,1105356,10,wiki
GUAYMAS,SON.,(C),"RADIO AMISTAD DE SONORA, S.A. DE C.V.",XEDR,AM,830,2.5 -D  N.A. ,04/07/04,03/07/16,275506,1105356,10,wiki
GUAYMAS,SON.,(C),"RADIO SONORA, S.A.",XEFX,AM,630,1 -D  0.25 -N,04/07/04,03/07/16,275506,1105356,10,wiki
HERMOSILLO,SON.,(C),"STEREOREY MÉXICO, S.A.",XEBH,AM,590,1 -D  1 -N,04/07/04,03/07/16,290556,1105715,216,
HERMOSILLO,SON.,(C),CARLOS DE JESÚS QUIÑONES ARMENDÁRIZ,XEPB,AM,950,10 -D  0.1 -N,04/07/04,03/07/16,290556,1105715,216,
HERMOSILLO,SON.,(P),UNIVERSIDAD DE SONORA,XEUS,AM,850,1 -D  0.2 -N,02/03/10,01/03/15,290556,1105715,216,
HERMOSILLO,SON.,(C),CARLOS DE JESÚS QUIÑONES ARMENDÁRIZ,XEVS,AM,1110,1 -D  0.25 -N,04/07/04,03/07/16,290556,1105715,216,
HUATABAMPO,SON.,(C),MANUEL OSWALDO ALVARADO QUINTERO,XEYO,AM,560,1 -D  0.5 -N,16/03/05,15/03/17,264939,1093832,8,
MAGDALENA DE KINO,SON.,(C),JESÚS L. ROCHIN,XEDJ,AM,1450,0.5 -D  0.5 -N,09/01/07,08/01/17,303737,1105803,757,
NAVOJOA,SON.,(C),SUCN. DE FAUSTO MARCO GÓMEZ COTA,XEGL,AM,1270,1 -D  0.5 -N,04/07/04,03/07/16,270451,1092643,40,
NOGALES,SON.,(C),"RADIO NOGALES, S. DE R.L.",XECG,AM,1240,1 -D  1 -N,04/07/04,03/07/16,311907,1105645,1199,wiki
NOGALES,SON.,(C),"FORMULA RADIOFÓNICA, S.A. DE C.V.",XEHF,AM,1370,5 -D  5 -N,04/07/04,03/07/16,311907,1105645,1199,wiki
NOGALES,SON.,(C),"XEHN, S.A.",XEHN,AM,1130,1 -D  N.A. -N,29/11/07,28/11/19,311907,1105645,1199,wiki
NOGALES,SON.,(C),SUCN. RAMÓN GUZMÁN RIVERA,XENY,AM,760,5 -D  0.1 -N,04/07/04,03/07/16,311907,1105645,1199,wiki
NOGALES,SON.,(C),"RADIO 13, S.A.",XEXW,AM,1300,1 -D  0.1 -N,04/07/04,03/07/16,311907,1105645,1199,wiki
SAN LUIS RIO COLORADO,SON.,(C),"RADIO IMPULSORA DE SAN LUIS, S.A. DE C.V.",XECB,AM,1460,10 -D  0.25 -N,04/07/04,03/07/16,322836,1144545,51,
SAN LUIS RIO COLORADO,SON.,(C),SUCN. DE FRANCISCO ENCINAS ANGULO,XEEH,AM,1520,1 -D  N.A. -N,27/06/03,26/06/15,322836,1144545,51,
SAN LUIS RIO COLORADO,SON.,(C),"RADIO IMPULSORA DE SAN LUIS, S.A. DE C.V.",XELBL,AM,1350,8 -D  N.A. -N,04/07/04,03/07/16,322836,1144545,51,
SAN LUIS RIO COLORADO,SON.,(C),"RADIO IMPULSORA DE SAN LUIS, S.A. DE C.V.",XEMW,AM,1260,1 -D  0.25 -N,04/07/04,03/07/16,322836,1144545,51,
URES,SON.,(C),SUCN. DE FRANCISCO VIDAL ESQUER,XEXN,AM,1010,0.5 -D  0.2 -N,25/11/09,24/11/19,292553,1102201,390,
CUNDUACÁN,TAB.,(P),GOBIERNO DEL ESTADO DE TABASCO,XETVH,AM,1230,20 -D  1 -N,29/10/98,R,180402,931032,10,
TENOSIQUE,TAB.,(P),GOBIERNO DEL ESTADO DE TABASCO,XETQE,AM,1120,5 -D  0.5 -N,29/10/03,28/10/15,172821,912536,20,
VILLAHERMOSA,TAB.,(C),"RADIO DINÁMICA DEL SURESTE, S.A. DE C.V.",XEKV,AM,740,10 -D  1 -N,21/03/06,20/03/18,175921,925541,9,
BRECHA 73,TAMPS.,(C),"RADIO AVANZADO GAL DE VALLE HERMOSOS, S.A. DE C.V.",XERDO,AM,1060,7 -D  2.5 -N,04/07/04,03/07/16,254450,974809,14,
CD. CAMARGO,TAMPS.,(C),"RADIO CAMARGO, S.A.",XEZD,AM,1350,0.25 -D    0.25 -N,04/07/04,03/07/16,261511,985039,52,
CD. MIGUEL ALEMÁN,TAMPS.,(C),ANTONIO GALLEGOS GONZÁLEZ,XEHI,AM,1470,10 -D  0.25 -N,15/03/03,14/03/15,262401,990131,50,
CD. MIGUEL ALEMÁN,TAMPS.,(C),"EL HERALDO FRONTERIZO, S.A.",XEWD,AM,1430,5 -D  0.15 -N,24/01/03,23/01/15,262401,990131,50,
CD. VICTORIA,TAMPS.,(P),GOBIERNO DEL ESTADO DE TAMAULIPAS,XEVIC,AM,1480,5 -D  0.15 -N,19/12/05,18/12/17,234410,990846,318,
ESTEROS,TAMPS.,(P)*,GOBIERNO DEL ESTADO DE TAMAULIPAS,XEERO,AM,630,1 -D  0.15 -N,19/12/05,18/12/17,223111,980732,25,
GUADALUPE,TAMPS.,(C),"XEMT DE MATAMOROS, S.A. DE C.V.",XEMT,AM,1340,0.6 -D  0.6 -N,18/06/10,17/06/20,260306,985158,92,
MATAMOROS,TAMPS.,(C),"XEAM DE MATAMOROS, S.A. DE C.V.",XEAM,AM,1310,1 -D  0.25 -N,04/07/04,03/07/16,255247,973015,9,
MATAMOROS,TAMPS.,(C),SUCN. DE JORGE CÁRDENAS GONZÁLEZ,XEEW,AM,1420,1 -D  1 -N,04/07/04,03/07/16,255247,973015,9,
MATAMOROS,TAMPS.,(C),SUCN. DE ANTONIO SALVADOR GALLEGOS ESCALANTE.,XEMS,AM,1490,1 -D  1 -N,26/07/10,25/07/20,255247,973015,9,
MATAMOROS,TAMPS.,(C),"RADIODIFUSORAS EL GALLO, S.A. DE C.V.",XEO,AM,970,1 -D  1 -N,25/07/07,24/07/19,255247,973015,9,
NUEVO LAREDO,TAMPS.,(C),"PUBLICIDAD RADIOFÓNICA DE NUEVO LAREDO, S.A. DE C.V.",XEAS,AM,1410,1 -D  0.25 -N,03/03/08,02/03/18,272911,993029,130,
NUEVO LAREDO,TAMPS.,(C),GUSTAVO ALONSO CORTEZ MONTIEL,XEBK,AM,1340,1 -D  1 -N,03/07/04,02/07/16,272911,993029,130,
NUEVO LAREDO,TAMPS.,(C),MANUEL CRISTÓBAL MONTIEL GOVEA,XEFE,AM,790,1 -D  0.5 -N,04/07/04,03/07/16,272911,993029,130,
NUEVO LAREDO,TAMPS.,(C),"RADIO RITMO, S.A.",XEGNK,AM,1370,5 -D  0.5 -N,04/07/04,03/07/16,272911,993029,130,
NUEVO LAREDO,TAMPS.,(C),EDUARDO VILLARREAL MARROQUÍN,XEK,AM,960,5 -D  1 -N,04/07/04,03/07/16,272911,993029,130,
NUEVO LAREDO,TAMPS.,(C),"RADIO FORMULA DEL NORTE, S.A. DE C.V.",XENLT,AM,1000,1 -D   0.1 -N,22/05/13,21/05/25,272911,993029,130,
NUEVO LAREDO,TAMPS.,(C),"PUBLICIDAD UNIDA DEL NORTE, S.A. DE C.V.",XENU,AM,1550,5 -D  0.25 -N,04/07/04,03/07/16,272911,993029,130,
NUEVO LAREDO,TAMPS.,(C),"RADIODIFUSORAS CORTES, S.A.",XEWL,AM,1090,1 -D  N.A. -N,20/05/10,19/05/19,272911,993029,130,
REYNOSA,TAMPS.,(C),"RADIO IMPULSORA, S.A.",XERI,AM,810,1 -D  0.1 -N,04/07/04,03/07/16,260532,981640,33,
REYNOSA,TAMPS.,(C),"GRUPO RADIOFÓNICO DE REYNOSA, S.A. DE C.V.",XERKS,AM,940,1 -D  1 -N,03/03/03,02/03/15,260532,981640,33,
REYNOSA,TAMPS.,(C),"PUBLICIDAD UNIDA DE REYNOSA, S.A. DE C.V.",XERT,AM,1170,5 -D  N.A. -N,04/07/04,03/07/16,260532,981640,33,
RIO BRAVO,TAMPS.,(C),"CORPORADIO GAPE DE TAMAULIPAS, S.A. DE C.V.",XEFD,AM,590,5 -D  0.5 -N,13/05/03,12/05/15,260044,980431,27,
RIO BRAVO,TAMPS.,(C),ERNESTO MONTEMAYOR IBARRA,XEGH,AM,620,1 -D  0.25 -N,30/03/05,29/03/17,260044,980431,27,
RIO BRAVO,TAMPS.,(C),"CORPORADIO GAPE DE TAMAULIPAS, S.A. DE C.V.",XEOQ,AM,1110,1 -D  N.A. -N,04/07/04,03/07/16,260044,980431,27,
RIO BRAVO,TAMPS.,(C),"RADIODIFUSORAS EL GALLO, S.A. DE C.V.",XEOR,AM,1390,1 -D  1 -N,05/11/09,04/11/19,260044,980431,27,
SAN FERNANDO,TAMPS.,(C),"RADIO TAURO, S.A. DE C.V.",XESFT,AM,780,5 -D  1 -N,07/11/03,06/11/15,245051,980930,42,
SANTA ELENA,TAMPS.,(C),"XETAM-AM, S.A. DE C.V.",XETAM,AM,640,5 -D  1 -N,04/05/04,03/05/16,234410,990846,318,ciudad victoria
TAMPICO,TAMPS.,(C),"FLORES, S.A. DE C.V.",XEFW,AM,810,50 -D  1 -N,04/07/04,03/07/16,221519,975207,30,
TULA,TAMPS.,(P),GOBIERNO DEL ESTADO DE TAMAULIPAS,XETUT,AM,1280,1 -D  N.A. -N,19/12/05,18/12/17,230010,994230,1170,
IGNACIO ZARAGOZA,TLAX.,(C),"RADIO HUAMANTLA, S.A. DE C.V.",XEHT,AM,810,5 -D  1 -N,21/11/08,20/11/20,191729,975512,2517,
TLAXCALA,TLAX.,(C),"VOZ E IMAGEN DE TLAXCALA, S.A. DE C.V.",XETT,AM,1430,5 -D  1 -N,20/07/04,19/07/16,191900,981419,2230,
BANDERILLA,VER.,(C),JOSÉ LUIS OLIVA MEZA,XETP,AM,1380,10 -D  1 -N,23/02/07,21/02/19,193526,965620,1506,
COATZACOALCOS,VER.,(C),"RADIO MIL DE VERACRUZ, S.A. DE C.V.",XECSV,AM,1000,1 -D  1 -N,08/11/03,07/11/15,180809,942748,10,
COATZACOALCOS,VER.,(C),"EMISORAS MEXICANAS DE VERACRUZ, S.A. DE C.V.",XEZS,AM,1170,2.5 -D  1 -N,04/07/04,03/07/16,180809,942748,10,
COSAMALOAPAN DE CARPIO,VER.,(C),"VOZ AMIGA DE LA CUENCA DEL PAPALOAPAN, S.A. DE C.V.",XEFU,AM,630,10 -D  0.75 -N,04/07/04,03/07/16,182236,954727,9,
CUAPICHAPAN,VER.,(C),"RADIO INTEGRAL, S.A. DE C.V.",XEPP,AM,1190,1 -D  0.25 -N,27/01/08,26/01/20,185131,970548,1235,wiki
XALAPA,VER.,(C),"RADIO XEOZ, S.A. DE C.V.",XEOZ,AM,960,1 -D  0.25 -N,17/01/06,16/01/18,193217,965433,1417,
XALAPA,VER.,(P),UNIVERSIDAD VERACRUZANA,XERUV,AM,1550,10 -D  10 -N,10/11/00,R,193217,965433,1417,
LA GRANDEZA,VER.,(C),"COMPAÑÍA RADIOFÓNICA DE POZA RICA, S.A.",XEPR,AM,1020,5 -D  0.5 -N,14/03/03,15/03/15,202915,972953,59,
MINATITLÁN,VER.,(C),"OSCAR BRAVO, S.A. DE C.V.",XEMTV,AM,1260,1 -D  1 -N,15/10/10,14/10/20,180102,943338,10,
TEOCELO,VER.,(P),"ASOCIACIÓN VERACRUZANA DE COMUNICADORES POPULARES, A.C.",XEYTM,AM,1490,1 -D  1 -N,26/06/13,25/06/25,192314,965822,1181,
TEPETITLANAPA,VER.,(P),COMISIÓN NACIONAL PARA EL DESARROLLO DE LOS PUEBLOS INDÍGENAS,XEZON,AM,1360,10 -D  N.A. -N,13/08/92,N.D.,183835,970043,1501,
TUXPAN,VER.,(C),CALIXTO ALMAZÁN Y FERRER,XETL,AM,1390,5 -D  1 -N,03/07/09,02/07/19,205731,972251,10,
TUXPAN,VER.,(C),"RADIO TUXPAN, S.A. DE C.V.",XETVR,AM,1150,1.5 -D  0.5 -N,28/08/06,27/08/18,205731,972251,10,
VERACRUZ,VER.,(C),"XEQT, S.A.",XEQT,AM,800,1 -D  1 -N,31/07/04,30/07/16,191125,960912,10,
MÉRIDA,YUC.,(C),"RADIO MÉRIDA, S.A.",XEMH,AM,970,5 -D  0.5 -N,04/07/04,03/07/16,205804,893718,10,
MÉRIDA,YUC.,(C),"RADIO MIL DEL SUR, S.A. DE C.V.",XEMYL,AM,1000,5 -D  0.35 -N,18/07/13,17/07/25,205804,893718,10,
MÉRIDA,YUC.,(P),UNIVERSIDAD AUTÓNOMA DE YUCATÁN,XERUY,AM,1120,1 -D  N.A. -N,06/12/10,05/12/22,205804,893718,10,
MÉRIDA,YUC.,(C),"RADIO TRANSMISORA DEL PACIFICO, S.A. de C.V.",XEVG,AM,650,2.5 -D  0.017 -N,06/02/02,05/02/14,205804,893718,10,
MÉRIDA,YUC.,(C),TRANSMISORA REGIONAL RADIO FORMULA S.A.  DE C.V.,XEZ,AM,600,5 -D  1 -N,03/07/04,02/07/16,205804,893718,10,
MÉRIDA,YUC.,(P),"FUNDACIÓN CULTURAL PARA LA SOCIEDAD MEXICANA, A.C.",XEFCSM,AM,1700,50 -D  1 -N,30/04/13,29/04/25,205804,893718,10,
BUENA VISTA DE RIVERA,ZAC.,(C),"RADIODIFUSORA XEMA 690 AM, S.A. DE C.V.",XEMA,AM,690,50 -D  2 -N,04/07/04,03/07/16,230803,1024959,2175,
GUADALUPE VICTORIA,ZAC.,(C),"RADIO ALEGRÍA DE TLALTENANGO, S.A. DE C.V.",XETGO,AM,1100,30 -D  0.4 -N,27/05/08,26/05/20,214943,1031700,1680,
